,cuisine,ingredient,sum
1,African,onion,22
2,African,garlic,22
6,African,tomato,22
19,African,thyme,22
61,African,curry,22
21,African,rice,12
22,African,fresh pepper,12
47,African,bay leaves,12
5,African,bell pepper,10
15,African,ginger,10
25,African,potato,10
266,American,vanilla,963
274,American,cinnamon,600
264,American,onion,568
265,American,garlic,514
291,American,apple,430
270,American,chocolate,369
268,American,bell pepper,360
267,American,lemon,355
294,American,cocoa,316
281,American,vinegar,274
289,American,honey,241
300,American,nutmeg,234
297,American,bacon,201
309,American,coffee,190
273,American,parsley,186
293,American,orange,182
276,American,corn,180
288,American,potato,178
278,American,ginger,163
306,American,mediterranean cheese,157
528,Asian,garlic,515
527,Asian,onion,458
564,Asian,soy sauce,349
547,Asian,rice,338
543,Asian,carrots,294
541,Asian,ginger,286
540,Asian,broth,170
531,Asian,bell pepper,169
529,Asian,vanilla,155
538,Asian,berries,136
542,Asian,lime,130
530,Asian,lemon,128
539,Asian,corn,128
552,Asian,honey,127
534,Asian,mushrooms,111
546,Asian,basil,108
550,Asian,cilantro,85
548,Asian,fresh pepper,84
536,Asian,parsley,79
544,Asian,vinegar,78
588,Asian,cabbage,68
792,Creole,vanilla,231
796,Creole,chocolate,231
790,Creole,onion,50
791,Creole,garlic,50
795,Creole,tomato,40
808,Creole,thyme,40
810,Creole,rice,40
828,Creole,celery,40
847,Creole,peanut butter,40
819,Creole,orange,38
794,Creole,bell pepper,36
803,Creole,broth,32
822,Creole,yogurt,29
825,Creole,banana,28
824,Creole,hot sauce or salsa,27
801,Creole,berries,24
838,Creole,tomato sauce,21
793,Creole,lemon,20
798,Creole,italian cheese,19
865,Creole,sage,17
836,Creole,bay leaves,15
1064,English,berries,287
1075,English,almonds,63
1093,English,shallot,53
1056,English,lemon,45
1080,English,apple,34
1062,English,parsley,29
1094,English,syrup,29
1070,English,vinegar,26
1060,English,mushrooms,24
1158,English,apricot,24
1079,English,wine,22
1085,English,yogurt,21
1071,English,thyme,19
1175,English,brie,19
1063,English,cinnamon,17
1067,English,ginger,17
1252,English,guava,15
1088,English,banana,14
1110,English,peanut butter,14
1053,English,onion,13
1133,English,raisin,13
1338,European,almonds,35
1375,European,cherry,33
1317,European,garlic,22
1318,European,vanilla,22
1358,European,mediterranean cheese,22
1443,European,rhubarb,22
1357,European,syrup,20
1316,European,onion,13
1340,European,potato,13
1521,European,egg noodles,13
1367,European,spinach,11
1387,European,broccoli,11
1424,European,swiss chard,11
1348,European,yogurt,9
1328,European,corn,7
1582,French,lemon,420
1597,French,thyme,198
1579,French,onion,171
1605,French,wine,159
1580,French,garlic,149
1581,French,vanilla,146
1586,French,mushrooms,139
1592,French,broth,128
1620,French,syrup,93
1590,French,berries,83
1619,French,shallot,67
1588,French,parsley,66
1625,French,bay leaves,62
1612,French,bacon,56
1604,French,honey,44
1631,French,mint,40
1645,French,pear,40
1630,French,spinach,38
1644,French,dill,37
1583,French,bell pepper,36
1591,French,corn,35
1842,Greek,onion,117
1874,Greek,yogurt,90
1884,Greek,mediterranean cheese,89
1845,Greek,lemon,74
1847,Greek,tomato,63
1843,Greek,garlic,43
1855,Greek,broth,41
1912,Greek,cucumber,33
1858,Greek,carrots,29
1880,Greek,celery,29
1851,Greek,parsley,28
1916,Greek,eggplant,28
1846,Greek,bell pepper,25
1907,Greek,dill,21
1862,Greek,rice,20
1870,Greek,pasta,19
1860,Greek,thyme,17
1893,Greek,spinach,16
1852,Greek,cinnamon,13
1878,Greek,nutmeg,13
1890,Greek,tomato sauce,13
2106,Indian,garlic,267
2119,Indian,ginger,173
2137,Indian,yogurt,164
2105,Indian,onion,162
2104,Indian,cumin,149
2128,Indian,cilantro,137
2165,Indian,curry,114
2110,Indian,tomato,113
2203,Indian,masala,89
2167,Indian,turmeric,82
2136,Indian,chili powder,76
2177,Indian,coriander,74
2126,Indian,fresh pepper,70
2108,Indian,lemon,65
2115,Indian,cinnamon,62
2129,Indian,potato,51
2144,Indian,cayenne,45
2153,Indian,tomato sauce,42
